frame,x,y,trajectory,treatment,rep
4406,0.720241,0.244,1,b2,rep1
604,0.623,0.226402,4,b2,rep2
1098,0.703323,0.4458,5,b2,rep2
11160,0.7329,0.648,3,b2,rep1
6683,0.4235,0.910629,2,b2,rep1
694,0.641204,0.239108,4,b2,rep2
7825,0.5098,0.22107,6,cnt,rep3
822,0.67546,0.234583,1,cnt,rep1
1992,0.653105,0.58,2,cnt,rep2
354,0.75,0.337289,5,cnt,rep3
6165,0.659737,0.76574,4,cnt,rep2
2317,0.44725,0.7086,3,cnt,rep2
