                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1787,                0.51846,                 1.0134,                0.96194,                 0.9768,                0.98496,                0.68546,                  1.128,                0.44812,                 1.0091,              0.0086932,              0.0086932,              0.0086932
                     36,                 1.1585,                0.50831,                 1.0091,                0.96626,                0.97605,                0.98522,                0.68854,                 1.1221,                0.44717,                 1.0087,              0.0086536,              0.0086536,              0.0086536
                     37,                 1.1577,                0.50895,                 1.0074,                0.96524,                0.97676,                0.98528,                0.69327,                 1.1128,                0.44137,                 1.0032,               0.008614,               0.008614,               0.008614
                     38,                 1.1407,                0.50026,                 1.0041,                0.97037,                0.97506,                0.98505,                0.69568,                 1.1137,                0.43909,                 1.0054,              0.0085744,              0.0085744,              0.0085744
                     39,                 1.1518,                0.50155,                 1.0064,                0.96894,                0.97414,                0.98377,                0.69202,                 1.1137,                0.43355,                 1.0058,              0.0085348,              0.0085348,              0.0085348
                     40,                 1.1432,                0.50162,                 1.0017,                  0.965,                0.97192,                0.98274,                0.69664,                 1.1103,                0.43848,                 1.0041,              0.0084952,              0.0084952,              0.0084952
                     41,                 1.1413,                 0.4972,                 1.0024,                0.96921,                0.97429,                0.98557,                0.69698,                 1.1035,                0.42905,                 1.0024,              0.0084556,              0.0084556,              0.0084556
                     42,                 1.1422,                0.49909,                 1.0036,                0.96963,                0.97568,                0.98433,                 0.7009,                 1.0998,                0.43258,                0.99962,               0.008416,               0.008416,               0.008416
                     43,                 1.1321,                0.49797,                0.99995,                  0.967,                 0.9761,                0.98485,                0.70254,                 1.0943,                0.43306,                0.99735,              0.0083764,              0.0083764,              0.0083764
                     44,                 1.1401,                0.49871,                 1.0008,                0.96958,                0.97406,                0.98564,                0.69703,                 1.1086,                 0.4347,                 1.0034,              0.0083368,              0.0083368,              0.0083368
                     45,                 1.1192,                0.48702,                0.99552,                 0.9696,                0.97558,                0.98521,                0.69855,                 1.1024,                0.42736,                 1.0015,              0.0082972,              0.0082972,              0.0082972
