frame,x,y,trajectory,treatment,rep
5040,0.282654,0.562265,118,cnt,rep1
9019,0.318815,0.733463,192,cnt,rep3
4882,0.46645,0.656062,448,cnt,rep3
2408,0.831809,0.0963887,79,cnt,rep3
2408,0.427623,0.893822,82,cnt,rep3
2408,0.531382,0.761944,84,cnt,rep3
2997,0.856248,0.161366,65,cnt,rep1
4052,0.786775,0.838656,101,cnt,rep2
4052,0.504075,0.190238,103,cnt,rep2
13662,0.768489,0.669344,357,cnt,rep1
13662,0.803619,0.897935,358,cnt,rep1
13662,0.316781,0.228321,359,cnt,rep1
7984,0.520526,0.213014,552,cnt,rep3
10590,0.232167,0.0365906,192,cnt,rep2
10590,0.694447,0.804779,469,cnt,rep2
13992,0.83235,0.735507,240,cnt,rep3
13992,0.503749,0.984595,561,cnt,rep3
9585,0.806845,0.532412,238,cnt,rep1
9585,0.674437,0.18021,239,cnt,rep1
9585,0.930338,0.296377,241,cnt,rep1
9585,0.490811,0.164519,242,cnt,rep1
7373,0.295616,0.59813,183,cnt,rep1
7373,0.722144,0.424188,170,cnt,rep1
5243,0.318468,0.641529,163,cnt,rep3
11320,0.676453,0.465485,476,cnt,rep2
10517,0.233568,0.0368744,192,cnt,rep2
13195,0.287068,0.34925,308,cnt,rep1
13195,0.744197,0.2548,339,cnt,rep1
10955,0.359644,0.837077,264,cnt,rep1
10955,0.927614,0.537962,270,cnt,rep1
10955,0.505523,0.18047,268,cnt,rep1
10955,0.817908,0.346688,272,cnt,rep1
5932,0.480344,0.345097,433,cnt,rep2
193,0.721932,0.777021,1,cnt,rep2
1603,0.703099,0.352646,531,cnt,rep3
1603,0.768806,0.588,62,cnt,rep3
1603,0.316896,0.597563,63,cnt,rep3
10283,0.465871,0.419241,462,cnt,rep2
7960,0.518208,0.215007,552,cnt,rep3
3546,0.833992,0.163262,428,cnt,rep3
763,0.686706,0.740994,392,cnt,rep3
763,0.695161,0.382377,529,cnt,rep3
763,0.317409,0.653865,390,cnt,rep3
4089,0.665559,0.181972,437,cnt,rep3
10728,0.738968,0.303761,252,cnt,rep1
10728,0.360096,0.817062,264,cnt,rep1
10568,0.229268,0.0366816,192,cnt,rep2
10568,0.634777,0.808553,468,cnt,rep2
12515,0.530212,0.776137,260,cnt,rep2
12515,0.602212,0.943736,262,cnt,rep2
5721,0.330551,0.634424,163,cnt,rep3
5721,0.308199,0.538133,170,cnt,rep3
11346,0.617302,0.0531785,225,cnt,rep2
6660,0.477235,0.741503,130,cnt,rep2
7055,0.673622,0.507377,170,cnt,rep1
7055,0.624396,0.729394,164,cnt,rep1
7055,0.600769,0.0704021,176,cnt,rep1
7055,0.408588,0.585159,179,cnt,rep1
257,0.725326,0.775485,1,cnt,rep2
13924,0.588377,0.17695,522,cnt,rep2
10714,0.232256,0.0358943,192,cnt,rep2
4552,0.275258,0.293895,425,cnt,rep2
2444,0.834656,0.0902917,79,cnt,rep3
3018,0.846452,0.171736,65,cnt,rep1
3911,0.487839,0.766948,420,cnt,rep2
6605,0.476043,0.771055,130,cnt,rep2
7884,0.515132,0.216317,552,cnt,rep3
6316,0.499955,0.798285,435,cnt,rep2
9794,0.699888,0.443698,239,cnt,rep1
9794,0.755728,0.387507,241,cnt,rep1
14298,0.60892,0.178813,296,cnt,rep2
3767,0.790051,0.638666,85,cnt,rep1
9181,0.795906,0.386802,223,cnt,rep1
14006,0.849535,0.725131,240,cnt,rep3
564,0.691957,0.791865,3,cnt,rep1
564,0.342207,0.795383,6,cnt,rep1
564,0.430017,0.813786,4,cnt,rep1
7706,0.509653,0.219367,552,cnt,rep3
6291,0.5304,0.823499,435,cnt,rep2
12146,0.348265,0.603098,475,cnt,rep3
10648,0.782928,0.304507,252,cnt,rep1
10648,0.474159,0.510199,257,cnt,rep1
10648,0.343761,0.81166,264,cnt,rep1
6272,0.336845,0.632174,163,cnt,rep3
9332,0.325646,0.739452,192,cnt,rep3
7555,0.517665,0.211788,552,cnt,rep3
11326,0.507702,0.0555532,557,cnt,rep3
9514,0.81599,0.440899,238,cnt,rep1
9514,0.7009,0.0528139,239,cnt,rep1
11613,0.304871,0.57454,221,cnt,rep3
13692,0.774096,0.61745,357,cnt,rep1
13692,0.809194,0.91107,358,cnt,rep1
13692,0.312264,0.223527,359,cnt,rep1
11626,0.923788,0.553884,270,cnt,rep1
11626,0.816239,0.854439,289,cnt,rep1
2456,0.830551,0.0865531,79,cnt,rep3
13739,0.599643,0.182184,522,cnt,rep2
6050,0.338764,0.629551,163,cnt,rep3
13593,0.485069,0.184535,519,cnt,rep2
8639,0.843976,0.853957,213,cnt,rep1
8639,0.46931,0.824841,214,cnt,rep1
1016,0.691209,0.179601,3,cnt,rep1
1016,0.753143,0.658498,11,cnt,rep1
1016,0.908896,0.414854,9,cnt,rep1
